date,product,category,region,sales_amount,quantity,profit,year,month,month_name,year_month,profit_margin
2023-03-13,Bed Frame,Furniture,South,1591.86,3,340.84,2023,3,Mar,2023-03,21.41
2021-09-15,Headphones,Electronics,East,3634.13,3,648.61,2021,9,Sep,2021-09,17.85
2023-12-03,Lamp,Furniture,Central,469.01,2,125.37,2023,12,Dec,2023-12,26.73
2021-03-31,Dumbbell Set,Sports,South,47.92,2,18.66,2021,3,Mar,2021-03,38.94
2022-02-17,Chair,Furniture,Central,2329.97,3,806.94,2022,2,Feb,2022-02,34.63
2023-09-05,Webcam,Electronics,Central,1187.9,3,171.2,2023,9,Sep,2023-09,14.41
2022-08-19,Monitor,Electronics,Central,1348.51,1,254.39,2022,8,Aug,2022-08,18.86
2021-03-17,Webcam,Electronics,West,5710.36,4,682.04,2021,3,Mar,2021-03,11.94
2023-06-10,Bicycle,Sports,Central,639.52,2,167.24,2023,6,Jun,2023-06,26.15
2022-09-26,Running Shoes,Sports,Central,150.1,1,60.39,2022,9,Sep,2022-09,40.23
2022-05-07,Smartwatch,Electronics,Central,745.47,2,105.56,2022,5,May,2022-05,14.16
2021-12-05,Yoga Mat,Sports,West,742.87,7,234.78,2021,12,Dec,2021-12,31.6
2021-06-22,Dumbbell Set,Sports,West,1410.1,6,487.25,2021,6,Jun,2021-06,34.55
2023-04-04,Monitor,Electronics,Central,1446.67,1,284.1,2023,4,Apr,2023-04,19.64
2023-03-26,Tennis Racket,Sports,East,737.72,2,208.95,2023,3,Mar,2023-03,28.32
2022-10-18,Tablet,Electronics,West,1440.12,1,133.66,2022,10,Oct,2022-10,9.28
2022-01-08,Shoes,Clothing,West,196.21,2,106.66,2022,1,Jan,2022-01,54.36
2022-05-17,Laptop,Electronics,North,1292.5,2,115.22,2022,5,May,2022-05,8.91
2022-01-25,Jacket,Clothing,Central,379.65,3,116.4,2022,1,Jan,2022-01,30.66
2022-01-09,Smartphone,Electronics,North,2385.09,4,201.35,2022,1,Jan,2022-01,8.44
2022-05-26,Smartwatch,Electronics,West,8600.95,7,821.38,2022,5,May,2022-05,9.55
2021-02-20,Tennis Racket,Sports,West,309.08,3,118.78,2021,2,Feb,2021-02,38.43
2022-11-05,Rice,Groceries,South,102.85,4,5.44,2022,11,Nov,2022-11,5.29
2023-05-03,Jacket,Clothing,East,907.99,5,437.29,2023,5,May,2023-05,48.16
2021-09-06,Webcam,Electronics,West,2892.25,6,247.3,2021,9,Sep,2021-09,8.55
2021-02-22,Dress,Clothing,East,240.27,2,107.21,2021,2,Feb,2021-02,44.62
2023-06-19,Chair,Furniture,East,3547.54,5,956.15,2023,6,Jun,2023-06,26.95
2022-06-18,Yoga Mat,Sports,Central,384.8,2,149.33,2022,6,Jun,2022-06,38.81
2023-03-05,Webcam,Electronics,North,2094.58,2,168.22,2023,3,Mar,2023-03,8.03
2023-03-15,Laptop,Electronics,East,317.56,1,43.87,2023,3,Mar,2023-03,13.81
2022-04-19,Bed Frame,Furniture,South,618.18,1,154.85,2022,4,Apr,2022-04,25.05
2023-10-28,Cereal,Groceries,East,32.86,2,2.44,2023,10,Oct,2023-10,7.43
2022-04-30,Desk,Furniture,North,685.31,1,169.03,2022,4,Apr,2022-04,24.66
2021-01-25,Desk,Furniture,East,2188.61,4,684.8,2021,1,Jan,2021-01,31.29
2022-03-01,Bicycle,Sports,South,497.82,2,217.42,2022,3,Mar,2022-03,43.67
2022-10-24,Bicycle,Sports,East,97.67,2,25.43,2022,10,Oct,2022-10,26.04
2022-06-27,Bicycle,Sports,South,236.76,1,105.36,2022,6,Jun,2022-06,44.5
2022-05-19,Juice,Groceries,North,65.51,3,9.62,2022,5,May,2022-05,14.68
2023-04-16,Olive Oil,Groceries,North,67.05,3,6.75,2023,4,Apr,2023-04,10.07
2023-04-25,Rice,Groceries,North,35.12,3,4.16,2023,4,Apr,2023-04,11.85
2021-11-17,Yoga Mat,Sports,North,299.64,5,99.39,2021,11,Nov,2021-11,33.17
2022-01-11,Bread,Groceries,South,6.26,1,0.78,2022,1,Jan,2022-01,12.46
2023-07-07,Lamp,Furniture,East,652.59,1,151.96,2023,7,Jul,2023-07,23.29
2021-01-05,Rice,Groceries,South,81.98,3,9.95,2021,1,Jan,2021-01,12.14
2023-03-11,Coffee,Groceries,North,68.04,3,7.1,2023,3,Mar,2023-03,10.44
2021-04-14,Cereal,Groceries,East,40.54,3,5.59,2021,4,Apr,2021-04,13.79
2022-04-23,Olive Oil,Groceries,Central,10.8,2,0.58,2022,4,Apr,2022-04,5.37
2022-08-21,Jeans,Clothing,Central,353.17,2,180.69,2022,8,Aug,2022-08,51.16
2021-08-04,Bed Frame,Furniture,Central,1406.1,3,449.51,2021,8,Aug,2021-08,31.97
2023-03-05,Rice,Groceries,Central,49.95,2,4.61,2023,3,Mar,2023-03,9.23
2021-12-12,Olive Oil,Groceries,South,36.0,2,4.94,2021,12,Dec,2021-12,13.72
2023-10-01,Sofa,Furniture,Central,2232.6,3,635.9,2023,10,Oct,2023-10,28.48
2023-11-19,Monitor,Electronics,East,2111.15,3,402.18,2023,11,Nov,2023-11,19.05
2022-07-21,Cereal,Groceries,Central,48.0,4,4.39,2022,7,Jul,2022-07,9.15
2021-03-16,Shorts,Clothing,South,202.72,2,107.07,2021,3,Mar,2021-03,52.82
2022-10-26,Webcam,Electronics,West,2629.77,4,419.78,2022,10,Oct,2022-10,15.96
2023-08-25,Headphones,Electronics,North,265.56,1,53.01,2023,8,Aug,2023-08,19.96
2022-07-15,Smartwatch,Electronics,East,708.73,2,59.81,2022,7,Jul,2022-07,8.44
2021-10-13,Milk,Groceries,North,70.47,3,7.47,2021,10,Oct,2021-10,10.6
2023-04-11,Chair,Furniture,Central,806.17,6,301.02,2023,4,Apr,2023-04,37.34
2023-10-29,Laptop,Electronics,East,385.06,1,35.62,2023,10,Oct,2023-10,9.25
2022-08-02,Bread,Groceries,West,7.91,1,0.97,2022,8,Aug,2022-08,12.26
2023-03-25,Olive Oil,Groceries,West,20.37,1,2.84,2023,3,Mar,2023-03,13.94
2021-01-07,Shorts,Clothing,North,49.5,1,17.1,2021,1,Jan,2021-01,34.55
2022-12-01,Jeans,Clothing,North,661.26,4,301.56,2022,12,Dec,2022-12,45.6
2023-07-23,Smartphone,Electronics,Central,2384.88,5,419.7,2023,7,Jul,2023-07,17.6
2022-12-22,Jacket,Clothing,North,244.19,4,133.35,2022,12,Dec,2022-12,54.61
2022-03-18,Tennis Racket,Sports,South,119.84,1,51.87,2022,3,Mar,2022-03,43.28
2021-02-11,Chair,Furniture,South,958.02,2,193.71,2021,2,Feb,2021-02,20.22
2021-01-27,Webcam,Electronics,East,1832.5,2,347.68,2021,1,Jan,2021-01,18.97
2023-07-11,Bicycle,Sports,South,532.45,3,215.21,2023,7,Jul,2023-07,40.42
2021-01-29,Running Shoes,Sports,East,455.8,3,174.45,2021,1,Jan,2021-01,38.27
2023-01-28,Yoga Mat,Sports,South,54.01,2,18.86,2023,1,Jan,2023-01,34.92
2021-12-31,Milk,Groceries,North,23.36,1,2.87,2021,12,Dec,2021-12,12.29
2021-03-02,Milk,Groceries,North,32.58,4,2.81,2021,3,Mar,2021-03,8.62
2023-12-04,Rice,Groceries,North,39.74,8,5.36,2023,12,Dec,2023-12,13.49
2022-04-11,Headphones,Electronics,East,1482.12,1,244.06,2022,4,Apr,2022-04,16.47
2022-12-12,Webcam,Electronics,South,2620.56,3,500.34,2022,12,Dec,2022-12,19.09
2023-04-07,Dumbbell Set,Sports,West,680.3,2,251.2,2023,4,Apr,2023-04,36.92
2023-09-22,Sofa,Furniture,Central,406.22,3,106.86,2023,9,Sep,2023-09,26.31
2022-05-12,Lamp,Furniture,North,2445.02,4,973.28,2022,5,May,2022-05,39.81
2021-09-08,Tennis Racket,Sports,South,1882.71,5,706.96,2021,9,Sep,2021-09,37.55
2022-01-12,Sweater,Clothing,North,147.82,2,61.62,2022,1,Jan,2022-01,41.69
2022-01-11,Shoes,Clothing,South,54.39,1,16.56,2022,1,Jan,2022-01,30.45
2022-08-08,Laptop,Electronics,West,1099.4,3,203.93,2022,8,Aug,2022-08,18.55
2021-01-11,Dumbbell Set,Sports,North,301.19,1,99.49,2021,1,Jan,2021-01,33.03
2023-06-04,Coffee,Groceries,South,2.36,1,0.34,2023,6,Jun,2023-06,14.41
2021-02-23,Laptop,Electronics,East,1832.09,2,254.55,2021,2,Feb,2021-02,13.89
2021-08-04,Rice,Groceries,Central,22.47,3,3.1,2021,8,Aug,2021-08,13.8
2022-09-27,Lamp,Furniture,North,111.95,1,29.76,2022,9,Sep,2022-09,26.58
2023-08-13,Shoes,Clothing,East,294.9,2,138.84,2023,8,Aug,2023-08,47.08
2023-08-31,Smartphone,Electronics,Central,3734.25,5,692.46,2023,8,Aug,2023-08,18.54
2021-12-02,Chair,Furniture,East,6340.07,9,2315.16,2021,12,Dec,2021-12,36.52
2022-11-03,Coffee,Groceries,South,49.44,2,3.89,2022,11,Nov,2022-11,7.87
2023-12-06,Bread,Groceries,North,77.29,4,9.75,2023,12,Dec,2023-12,12.61
2022-08-09,Smartphone,Electronics,West,3869.21,4,449.28,2022,8,Aug,2022-08,11.61
2023-11-07,Wardrobe,Furniture,North,998.33,2,373.68,2023,11,Nov,2023-11,37.43
2022-12-05,Bicycle,Sports,West,1057.26,4,437.45,2022,12,Dec,2022-12,41.38
2022-04-04,Shorts,Clothing,South,80.4,2,41.29,2022,4,Apr,2022-04,51.36
2023-06-06,Tennis Racket,Sports,East,199.99,2,60.93,2023,6,Jun,2023-06,30.47
2023-04-29,Sofa,Furniture,Central,2278.21,3,903.98,2023,4,Apr,2023-04,39.68
2022-07-24,Wardrobe,Furniture,South,233.44,1,77.11,2022,7,Jul,2022-07,33.03
2022-05-07,Olive Oil,Groceries,North,130.95,5,6.97,2022,5,May,2022-05,5.32
2022-01-13,Olive Oil,Groceries,North,2.07,2,0.22,2022,1,Jan,2022-01,10.63
2023-10-14,Bed Frame,Furniture,Central,821.03,3,176.1,2023,10,Oct,2023-10,21.45
2021-12-04,Coffee,Groceries,North,77.83,3,5.78,2021,12,Dec,2021-12,7.43
2023-06-08,Sofa,Furniture,North,482.95,1,128.12,2023,6,Jun,2023-06,26.53
2021-01-02,Laptop,Electronics,North,558.41,1,49.94,2021,1,Jan,2021-01,8.94
2023-07-07,Sweater,Clothing,South,282.0,2,91.97,2023,7,Jul,2023-07,32.61
2021-11-13,Rice,Groceries,North,56.3,2,7.72,2021,11,Nov,2021-11,13.71
2021-04-21,Cereal,Groceries,East,134.75,5,7.84,2021,4,Apr,2021-04,5.82
2023-10-11,Bed Frame,Furniture,West,779.49,4,279.01,2023,10,Oct,2023-10,35.79
2022-11-26,Olive Oil,Groceries,South,6.42,4,0.58,2022,11,Nov,2022-11,9.03
2022-03-21,Yoga Mat,Sports,West,492.39,6,176.6,2022,3,Mar,2022-03,35.87
2023-08-05,Headphones,Electronics,South,5508.12,5,1043.7,2023,8,Aug,2023-08,18.95
2022-06-14,Yoga Mat,Sports,East,1255.04,4,417.43,2022,6,Jun,2022-06,33.26
2023-10-02,Monitor,Electronics,West,1911.84,3,302.56,2023,10,Oct,2023-10,15.83
2021-01-28,Jacket,Clothing,Central,35.15,3,12.61,2021,1,Jan,2021-01,35.87
2023-10-31,Juice,Groceries,South,42.04,3,6.09,2023,10,Oct,2023-10,14.49
2021-11-09,Sofa,Furniture,North,3611.91,7,747.08,2021,11,Nov,2021-11,20.68
2021-11-30,T-Shirt,Clothing,Central,187.96,1,77.64,2021,11,Nov,2021-11,41.31
2023-12-19,Yoga Mat,Sports,North,960.39,4,302.16,2023,12,Dec,2023-12,31.46
2023-11-29,Milk,Groceries,West,16.44,1,1.06,2023,11,Nov,2023-11,6.45
2023-01-16,Bed Frame,Furniture,South,431.22,2,169.33,2023,1,Jan,2023-01,39.27
2021-11-07,Jacket,Clothing,South,53.31,4,26.6,2021,11,Nov,2021-11,49.9
2023-03-12,Tablet,Electronics,Central,2034.22,2,310.41,2023,3,Mar,2023-03,15.26
2022-07-29,Laptop,Electronics,North,2980.68,2,277.48,2022,7,Jul,2022-07,9.31
2022-05-09,Wardrobe,Furniture,East,2646.6,4,817.53,2022,5,May,2022-05,30.89
2022-12-26,Headphones,Electronics,South,2497.8,4,267.94,2022,12,Dec,2022-12,10.73
2023-05-17,Jeans,Clothing,North,246.48,3,94.97,2023,5,May,2023-05,38.53
2021-01-12,Dumbbell Set,Sports,Central,219.47,2,87.65,2021,1,Jan,2021-01,39.94
2021-12-30,Rice,Groceries,Central,124.25,5,8.66,2021,12,Dec,2021-12,6.97
2021-05-21,Milk,Groceries,Central,94.52,5,11.51,2021,5,May,2021-05,12.18
2021-01-02,Smartwatch,Electronics,West,1243.6,1,227.74,2021,1,Jan,2021-01,18.31
2023-11-29,Yoga Mat,Sports,South,345.25,4,122.67,2023,11,Nov,2023-11,35.53
2022-07-13,Coffee,Groceries,Central,53.28,2,4.85,2022,7,Jul,2022-07,9.1
2022-11-13,Smartphone,Electronics,East,4727.05,4,732.05,2022,11,Nov,2022-11,15.49
2023-09-20,Dress,Clothing,North,300.01,2,91.78,2023,9,Sep,2023-09,30.59
2022-02-23,Bed Frame,Furniture,East,494.0,2,196.39,2022,2,Feb,2022-02,39.76
2021-09-20,Dumbbell Set,Sports,East,370.89,2,118.02,2021,9,Sep,2021-09,31.82
2021-10-29,Olive Oil,Groceries,South,53.9,5,4.67,2021,10,Oct,2021-10,8.66
2023-12-30,Webcam,Electronics,West,2765.98,4,418.04,2023,12,Dec,2023-12,15.11
2021-03-08,Lamp,Furniture,South,1918.57,6,599.48,2021,3,Mar,2021-03,31.25
2022-03-29,Tennis Racket,Sports,North,241.9,3,75.03,2022,3,Mar,2022-03,31.02
2023-09-07,Juice,Groceries,Central,4.48,1,0.55,2023,9,Sep,2023-09,12.28
2021-12-30,Laptop,Electronics,Central,923.74,5,80.89,2021,12,Dec,2021-12,8.76
2022-04-26,Dress,Clothing,South,164.75,2,83.42,2022,4,Apr,2022-04,50.63
2021-11-07,Juice,Groceries,East,88.32,5,10.37,2021,11,Nov,2021-11,11.74
2021-05-14,Cereal,Groceries,West,24.74,1,1.62,2021,5,May,2021-05,6.55
2023-07-20,Sweater,Clothing,West,594.39,5,311.8,2023,7,Jul,2023-07,52.46
2021-08-26,Bicycle,Sports,East,1145.48,3,402.32,2021,8,Aug,2021-08,35.12
2023-11-02,Lamp,Furniture,West,792.9,2,256.83,2023,11,Nov,2023-11,32.39
2023-12-20,Cereal,Groceries,East,69.48,4,5.54,2023,12,Dec,2023-12,7.97
2023-09-10,Bread,Groceries,East,6.33,2,0.75,2023,9,Sep,2023-09,11.85
2022-09-01,Sofa,Furniture,North,247.5,1,81.96,2022,9,Sep,2022-09,33.12
2022-02-26,Shorts,Clothing,Central,178.45,1,69.94,2022,2,Feb,2022-02,39.19
2021-04-02,Tennis Racket,Sports,Central,38.49,2,11.62,2021,4,Apr,2021-04,30.19
2022-10-12,Shorts,Clothing,Central,50.89,1,18.34,2022,10,Oct,2022-10,36.04
2021-12-04,Tennis Racket,Sports,West,631.97,4,174.07,2021,12,Dec,2021-12,27.54
2022-06-30,Sofa,Furniture,South,1690.93,4,661.27,2022,6,Jun,2022-06,39.11
2021-01-17,Laptop,Electronics,North,1222.88,1,138.83,2021,1,Jan,2021-01,11.35
2021-08-30,Shoes,Clothing,Central,500.33,3,261.35,2021,8,Aug,2021-08,52.24
2023-05-06,Running Shoes,Sports,Central,597.82,2,159.59,2023,5,May,2023-05,26.7
2021-02-12,Smartwatch,Electronics,East,153.32,1,29.86,2021,2,Feb,2021-02,19.48
2021-10-04,Shorts,Clothing,West,229.33,3,74.44,2021,10,Oct,2021-10,32.46
2021-12-16,Sweater,Clothing,West,723.16,4,263.12,2021,12,Dec,2021-12,36.38
2023-04-16,Laptop,Electronics,North,818.94,1,160.69,2023,4,Apr,2023-04,19.62
2021-05-29,Sofa,Furniture,East,3927.89,5,1051.31,2021,5,May,2021-05,26.77
2023-07-25,Shorts,Clothing,North,322.85,4,106.66,2023,7,Jul,2023-07,33.04
2022-11-17,Smartwatch,Electronics,East,5118.05,5,1010.34,2022,11,Nov,2022-11,19.74
2021-10-29,Bookshelf,Furniture,East,547.84,2,184.65,2021,10,Oct,2021-10,33.71
2022-03-12,Milk,Groceries,East,21.48,4,1.3,2022,3,Mar,2022-03,6.05
2021-01-23,Bicycle,Sports,North,308.03,1,77.58,2021,1,Jan,2021-01,25.19
2021-05-09,Lamp,Furniture,East,794.1,1,285.89,2021,5,May,2021-05,36.0
2022-04-18,Dress,Clothing,East,137.17,3,67.25,2022,4,Apr,2022-04,49.03
2022-07-20,Chair,Furniture,North,1539.63,2,402.03,2022,7,Jul,2022-07,26.11
2022-11-29,Bed Frame,Furniture,Central,1629.67,3,326.55,2022,11,Nov,2022-11,20.04
2023-05-21,Dumbbell Set,Sports,West,339.23,4,91.87,2023,5,May,2023-05,27.08
2022-11-29,Sofa,Furniture,South,511.55,1,135.26,2022,11,Nov,2022-11,26.44
2021-07-30,Bicycle,Sports,South,862.37,3,272.2,2021,7,Jul,2021-07,31.56
2022-04-26,Shorts,Clothing,West,87.53,4,40.21,2022,4,Apr,2022-04,45.94
2022-10-22,Cereal,Groceries,West,36.39,3,3.04,2022,10,Oct,2022-10,8.35
2023-08-31,Bread,Groceries,Central,63.7,3,4.62,2023,8,Aug,2023-08,7.25
2022-08-04,Tennis Racket,Sports,West,648.04,2,172.46,2022,8,Aug,2022-08,26.61
2023-01-13,Jacket,Clothing,North,158.24,1,49.74,2023,1,Jan,2023-01,31.43
2022-11-17,Sofa,Furniture,West,734.32,2,188.39,2022,11,Nov,2022-11,25.66
2022-09-10,Bed Frame,Furniture,East,1392.2,5,321.98,2022,9,Sep,2022-09,23.13
2022-08-19,Jeans,Clothing,East,145.83,4,67.95,2022,8,Aug,2022-08,46.6
2023-08-02,Dumbbell Set,Sports,South,704.94,4,204.16,2023,8,Aug,2023-08,28.96
2023-09-11,Tablet,Electronics,East,2918.82,2,286.48,2023,9,Sep,2023-09,9.81
2023-06-14,T-Shirt,Clothing,North,328.33,3,156.6,2023,6,Jun,2023-06,47.7
2022-06-13,Sweater,Clothing,South,408.37,4,164.55,2022,6,Jun,2022-06,40.29
2022-09-29,Bed Frame,Furniture,West,2017.8,6,707.89,2022,9,Sep,2022-09,35.08
2022-01-11,Bicycle,Sports,West,566.82,5,180.66,2022,1,Jan,2022-01,31.87
2023-12-04,Smartphone,Electronics,West,3622.8,3,481.57,2023,12,Dec,2023-12,13.29
2023-02-18,Desk,Furniture,West,1952.57,3,747.87,2023,2,Feb,2023-02,38.3
2022-07-08,Sofa,Furniture,West,598.63,3,180.43,2022,7,Jul,2022-07,30.14
2021-08-08,Webcam,Electronics,Central,5561.61,5,938.62,2021,8,Aug,2021-08,16.88
2023-11-06,Webcam,Electronics,Central,7384.8,5,601.96,2023,11,Nov,2023-11,8.15
2021-05-11,Headphones,Electronics,North,3729.87,3,431.09,2021,5,May,2021-05,11.56
2022-10-08,Olive Oil,Groceries,West,118.62,4,16.37,2022,10,Oct,2022-10,13.8
2023-09-13,Bicycle,Sports,South,53.75,1,17.18,2023,9,Sep,2023-09,31.96
2023-08-01,Jeans,Clothing,East,802.31,6,376.32,2023,8,Aug,2023-08,46.9
2023-12-26,Olive Oil,Groceries,North,40.01,2,3.36,2023,12,Dec,2023-12,8.4
2022-03-18,Webcam,Electronics,Central,588.75,6,65.49,2022,3,Mar,2022-03,11.12
2022-10-08,Rice,Groceries,East,16.87,4,2.49,2022,10,Oct,2022-10,14.76
2022-08-19,Laptop,Electronics,South,10157.37,7,1494.17,2022,8,Aug,2022-08,14.71
2022-09-25,Bookshelf,Furniture,West,322.12,2,80.01,2022,9,Sep,2022-09,24.84
2021-11-16,Headphones,Electronics,North,1245.58,1,208.8,2021,11,Nov,2021-11,16.76
2021-02-10,Bookshelf,Furniture,West,1423.22,2,566.16,2021,2,Feb,2021-02,39.78
2022-11-26,Yoga Mat,Sports,West,1196.9,5,326.74,2022,11,Nov,2022-11,27.3
2023-11-25,Smartphone,Electronics,North,345.82,4,41.81,2023,11,Nov,2023-11,12.09
2023-03-31,Tennis Racket,Sports,East,559.26,3,166.01,2023,3,Mar,2023-03,29.68
2021-03-17,Running Shoes,Sports,West,1523.82,4,458.48,2021,3,Mar,2021-03,30.09
2022-07-27,Wardrobe,Furniture,South,2199.94,3,713.89,2022,7,Jul,2022-07,32.45
2021-05-22,Coffee,Groceries,West,7.0,1,0.36,2021,5,May,2021-05,5.14
2022-07-09,Sofa,Furniture,North,1619.9,5,352.2,2022,7,Jul,2022-07,21.74
2022-07-07,Smartwatch,Electronics,East,1325.8,1,213.52,2022,7,Jul,2022-07,16.1
2023-06-26,Tennis Racket,Sports,North,825.5,5,324.99,2023,6,Jun,2023-06,39.37
2023-09-15,Dress,Clothing,North,130.92,1,41.22,2023,9,Sep,2023-09,31.48
2023-04-30,Jeans,Clothing,West,165.86,2,67.13,2023,4,Apr,2023-04,40.47
2021-11-28,Jacket,Clothing,North,755.71,4,346.89,2021,11,Nov,2021-11,45.9
2022-12-14,Webcam,Electronics,West,2692.62,9,344.45,2022,12,Dec,2022-12,12.79
2022-07-28,Webcam,Electronics,North,5536.51,5,646.43,2022,7,Jul,2022-07,11.68
2023-11-20,Sofa,Furniture,South,1069.96,3,404.37,2023,11,Nov,2023-11,37.79
2022-11-03,Jacket,Clothing,North,45.63,3,21.06,2022,11,Nov,2022-11,46.15
2022-02-25,Laptop,Electronics,West,1085.33,2,137.08,2022,2,Feb,2022-02,12.63
2021-05-06,Bread,Groceries,North,41.27,2,6.14,2021,5,May,2021-05,14.88
2023-04-13,Chair,Furniture,Central,2339.57,3,514.38,2023,4,Apr,2023-04,21.99
2021-12-29,Milk,Groceries,East,6.71,4,0.98,2021,12,Dec,2021-12,14.61
2023-11-25,Desk,Furniture,West,945.35,2,194.92,2023,11,Nov,2023-11,20.62
2023-10-05,Lamp,Furniture,Central,848.14,2,311.87,2023,10,Oct,2023-10,36.77
2023-06-18,Jeans,Clothing,Central,46.98,1,17.27,2023,6,Jun,2023-06,36.76
2021-10-27,Cereal,Groceries,West,22.14,2,2.49,2021,10,Oct,2021-10,11.25
2021-05-19,Bookshelf,Furniture,Central,3182.28,4,887.94,2021,5,May,2021-05,27.9
2022-06-01,Smartwatch,Electronics,West,2730.13,2,334.21,2022,6,Jun,2022-06,12.24
2021-09-03,Running Shoes,Sports,West,74.46,2,33.05,2021,9,Sep,2021-09,44.39
2023-06-02,Milk,Groceries,West,60.08,4,7.58,2023,6,Jun,2023-06,12.62
2022-02-03,Rice,Groceries,North,46.02,4,5.02,2022,2,Feb,2022-02,10.91
2023-06-22,Running Shoes,Sports,North,37.9,1,14.33,2023,6,Jun,2023-06,37.81
2023-01-07,Cereal,Groceries,East,42.0,3,4.1,2023,1,Jan,2023-01,9.76
2022-11-14,Juice,Groceries,South,19.59,4,2.86,2022,11,Nov,2022-11,14.6
2021-01-19,Jeans,Clothing,North,27.06,1,8.42,2021,1,Jan,2021-01,31.12
2021-01-25,Yoga Mat,Sports,Central,85.91,5,28.33,2021,1,Jan,2021-01,32.98
2023-03-13,Wardrobe,Furniture,East,993.45,3,388.46,2023,3,Mar,2023-03,39.1
2021-12-24,T-Shirt,Clothing,South,321.92,2,129.0,2021,12,Dec,2021-12,40.07
2021-04-21,Desk,Furniture,East,2634.03,4,645.88,2021,4,Apr,2021-04,24.52
2022-03-13,Tennis Racket,Sports,East,305.52,2,107.12,2022,3,Mar,2022-03,35.06
2023-10-31,Wardrobe,Furniture,West,1616.12,3,416.95,2023,10,Oct,2023-10,25.8
2023-11-20,Lamp,Furniture,East,1914.75,3,624.04,2023,11,Nov,2023-11,32.59
2023-05-23,Chair,Furniture,North,80.1,1,20.44,2023,5,May,2023-05,25.52
2021-10-21,Webcam,Electronics,South,1454.21,2,278.78,2021,10,Oct,2021-10,19.17
2022-09-25,Tablet,Electronics,East,6084.59,7,571.48,2022,9,Sep,2022-09,9.39
2022-04-16,Dress,Clothing,North,560.2,3,290.68,2022,4,Apr,2022-04,51.89
2023-07-18,Bookshelf,Furniture,North,2833.99,5,849.39,2023,7,Jul,2023-07,29.97
